tool,db_layout,workload,strategy,N_or_K,n_reps,prefetch_time_us_med,prefetch_time_us_min,prefetch_time_us_max,n_prefetch,n_syscalls
prefetch_layers,vacuum,ALL,layers_14,14,3,2.88,2.62,3.32,14,14
prefetch_layers,vacuum,ALL,layers_15,15,3,3.40,3.17,3.44,15,15
prefetch_layers,vacuum,ALL,layers_16,16,3,3.12,3.08,3.20,16,16
prefetch_layers,vacuum,ALL,layers_17,17,3,3.59,3.26,3.99,17,17
prefetch_layers,vacuum,ALL,layers_18,18,3,3.77,3.68,3.97,18,18
prefetch_layers,vacuum,ALL,layers_19,19,3,3.78,3.51,3.94,19,19
prefetch_layers,vacuum,ALL,layers_2,2,3,0.89,0.74,0.93,2,2
prefetch_layers,vacuum,ALL,layers_20,20,3,3.77,3.62,3.82,20,20
prefetch_layers,vacuum,ALL,layers_21,21,3,4.20,3.79,4.32,21,21
prefetch_layers,vacuum,ALL,layers_22,22,3,4.46,4.25,4.82,22,22
prefetch_layers,vacuum,ALL,layers_23,23,3,4.25,4.22,4.43,23,23
prefetch_layers,vacuum,ALL,layers_24,24,3,4.29,4.21,4.65,24,24
prefetch_layers,vacuum,ALL,layers_25,25,3,4.81,4.52,5.25,25,25
prefetch_layers,vacuum,ALL,layers_26,26,3,5.09,4.98,5.18,26,26
prefetch_layers,vacuum,ALL,layers_27,27,3,5.20,4.59,5.31,27,27
prefetch_layers,vacuum,ALL,layers_28,28,3,5.09,4.96,5.27,28,28
prefetch_layers,vacuum,ALL,layers_29,29,3,5.42,5.04,5.71,29,29
prefetch_layers,vacuum,ALL,layers_3,3,3,1.17,0.89,1.36,3,3
prefetch_layers,vacuum,ALL,layers_30,30,3,5.41,5.17,6.04,30,30
prefetch_layers,vacuum,ALL,layers_31,31,3,6.07,5.99,6.18,31,31
prefetch_layers,vacuum,ALL,layers_32,32,3,5.96,5.93,6.25,32,32
prefetch_layers,vacuum,ALL,layers_33,33,3,5.98,5.90,6.60,33,33
prefetch_layers,vacuum,ALL,layers_34,34,3,6.18,5.48,6.66,34,34
prefetch_layers,vacuum,ALL,layers_35,35,3,6.70,6.12,6.86,35,35
prefetch_layers,vacuum,ALL,layers_36,36,3,6.48,6.00,7.31,36,36
prefetch_layers,vacuum,ALL,layers_37,37,3,6.83,6.75,6.90,37,37
prefetch_layers,vacuum,ALL,layers_38,38,3,6.62,6.39,7.16,38,38
prefetch_layers,vacuum,ALL,layers_39,39,3,7.11,7.02,7.30,39,39
prefetch_layers,vacuum,ALL,layers_4,4,3,1.60,1.54,1.79,4,4
prefetch_layers,vacuum,ALL,layers_40,40,3,7.29,7.08,7.39,40,40
prefetch_layers,vacuum,ALL,layers_41,41,3,7.17,7.16,7.45,41,41
prefetch_layers,vacuum,ALL,layers_42,42,3,7.56,7.25,7.88,42,42
prefetch_layers,vacuum,ALL,layers_43,43,3,7.55,7.40,7.92,43,43
prefetch_layers,vacuum,ALL,layers_44,44,3,7.66,7.05,7.87,44,44
prefetch_layers,vacuum,ALL,layers_45,45,3,7.63,7.39,8.65,45,45
prefetch_layers,vacuum,ALL,layers_46,46,3,8.01,8.01,8.32,46,46
prefetch_layers,vacuum,ALL,layers_47,47,3,8.02,7.96,8.72,47,47
prefetch_layers,vacuum,ALL,layers_48,48,3,7.96,7.93,8.39,48,48
prefetch_layers,vacuum,ALL,layers_49,49,3,8.54,8.38,9.12,49,49
prefetch_layers,vacuum,ALL,layers_5,5,3,1.71,1.28,1.78,5,5
prefetch_layers,vacuum,ALL,layers_50,50,3,8.73,8.52,8.88,50,50
prefetch_layers,vacuum,ALL,layers_51,51,3,9.17,8.52,9.55,51,51
prefetch_layers,vacuum,ALL,layers_52,52,3,9.24,8.62,9.63,52,52
prefetch_layers,vacuum,ALL,layers_53,53,3,9.45,9.40,9.66,53,53
prefetch_layers,vacuum,ALL,layers_54,54,3,9.43,9.33,9.55,54,54
prefetch_layers,vacuum,ALL,layers_55,55,3,9.48,9.32,9.80,55,55
prefetch_layers,vacuum,ALL,layers_56,56,3,9.28,9.19,10.16,56,56
