tool,db_layout,workload,strategy,N_or_K,rep,prefetch_time_us,n_prefetch,n_syscalls
prefetch_layers,orig,ALL,layers_90,90,3,14.59,90,90
prefetch_layers,orig,ALL,layers_91,91,1,15.19,91,91
prefetch_layers,orig,ALL,layers_91,91,2,14.4,91,91
prefetch_layers,orig,ALL,layers_91,91,3,15.53,91,91
prefetch_layers,orig,ALL,layers_92,92,1,15.23,92,92
prefetch_layers,orig,ALL,layers_92,92,2,15.27,92,92
prefetch_layers,orig,ALL,layers_92,92,3,15.27,92,92
prefetch_layers,vacuum,ALL,layers_0,0,1,0.0,0,0
prefetch_layers,vacuum,ALL,layers_0,0,2,0.0,0,0
prefetch_layers,vacuum,ALL,layers_0,0,3,0.0,0,0
prefetch_layers,vacuum,ALL,layers_1,1,1,1.26,1,1
prefetch_layers,vacuum,ALL,layers_1,1,2,1.34,1,1
prefetch_layers,vacuum,ALL,layers_1,1,3,0.4,1,1
prefetch_layers,vacuum,ALL,layers_2,2,1,0.89,2,2
prefetch_layers,vacuum,ALL,layers_2,2,2,0.74,2,2
prefetch_layers,vacuum,ALL,layers_2,2,3,0.93,2,2
prefetch_layers,vacuum,ALL,layers_3,3,1,1.36,3,3
prefetch_layers,vacuum,ALL,layers_3,3,2,0.89,3,3
prefetch_layers,vacuum,ALL,layers_3,3,3,1.17,3,3
prefetch_layers,vacuum,ALL,layers_4,4,1,1.79,4,4
prefetch_layers,vacuum,ALL,layers_4,4,2,1.6,4,4
prefetch_layers,vacuum,ALL,layers_4,4,3,1.54,4,4
prefetch_layers,vacuum,ALL,layers_5,5,1,1.78,5,5
prefetch_layers,vacuum,ALL,layers_5,5,2,1.28,5,5
prefetch_layers,vacuum,ALL,layers_5,5,3,1.71,5,5
prefetch_layers,vacuum,ALL,layers_6,6,1,1.47,6,6
prefetch_layers,vacuum,ALL,layers_6,6,2,2.06,6,6
prefetch_layers,vacuum,ALL,layers_6,6,3,2.01,6,6
prefetch_layers,vacuum,ALL,layers_7,7,1,2.06,7,7
prefetch_layers,vacuum,ALL,layers_7,7,2,2.27,7,7
prefetch_layers,vacuum,ALL,layers_7,7,3,2.31,7,7
