workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,e2e_us,avg_us,majflt,minflt,load,memavail_kb
B,ta,layers_5,pread,128,2,0,0.00,100.00,524.59,477.96,1002.55,2.37,182.00,277.00,1.63,54701240
B,ta,layers_5,async,128,2,0,0.00,100.00,603.17,298.19,901.36,2.30,182.00,275.00,1.63,54702044
B,ta,layers_92,pread,128,2,0,0.00,100.00,603.01,1731.05,2334.06,2.31,180.00,275.00,1.63,54702460
B,ta,layers_92,async,128,2,0,0.00,42.40,581.04,411.55,992.59,2.36,181.00,275.00,1.63,54704220
B,ta,2d,pread,128,2,0,0.00,100.00,568.39,1077.77,1646.16,2.28,180.00,277.00,1.63,54703156
B,ta,2d,async,128,2,0,0.00,77.50,584.77,341.00,925.77,2.32,181.00,275.00,1.63,54710100
B,ta,2e_K10,pread,128,2,0,0.00,100.00,604.59,2424.61,3029.20,2.37,180.00,279.00,1.63,54710900
B,ta,2e_K10,async,128,2,0,0.00,98.00,590.67,353.81,944.48,2.25,181.00,278.00,1.63,54711196
B,ta,2e_K500,pread,128,2,0,0.00,100.00,483.91,17910.73,18394.64,2.22,171.00,373.00,1.63,54712692
B,ta,2e_K500,async,128,2,0,0.00,18.10,619.35,974.14,1593.49,2.36,186.00,319.00,1.66,54711084
B,ta,2f_slru,pread,128,2,0,0.00,100.00,103.88,17143.59,17247.47,1.70,0.00,279.00,1.66,54711396
B,ta,2f_slru,async,128,2,0,0.00,100.00,103.84,7427.00,7530.84,1.72,0.00,279.00,1.66,54709604
C,orig,layers_5,pread,128,2,0,0.00,100.00,1015.13,671.55,1686.68,1.62,24.00,25.00,1.66,54707728
C,orig,layers_5,async,128,2,0,0.00,100.00,1015.01,296.41,1311.42,1.61,24.00,25.00,1.66,54712720
C,orig,layers_92,pread,128,2,0,0.00,100.00,637.34,8334.48,8971.82,1.61,24.00,25.00,1.66,54712728
C,orig,layers_92,async,128,2,0,0.00,100.00,628.83,438.52,1067.35,1.61,24.00,25.00,1.66,54713532
C,orig,2d,pread,128,2,0,0.00,100.00,631.70,590.85,1222.55,1.61,24.00,25.00,1.66,54714584
C,orig,2d,async,128,2,0,0.00,100.00,628.68,296.48,925.16,1.61,24.00,25.00,1.66,54715676
C,orig,2e_K10,pread,128,2,0,0.00,100.00,155.09,1436.35,1591.44,1.60,23.00,33.00,1.66,54715924
C,orig,2e_K10,async,128,2,0,0.00,100.00,155.92,306.28,462.20,1.63,23.00,33.00,1.66,54716408
C,orig,2e_K500,pread,128,2,0,0.00,100.00,154.48,2470.19,2624.67,1.56,0.00,36.00,1.66,54716412
C,orig,2e_K500,async,128,2,0,0.00,65.40,154.64,709.19,863.83,1.53,0.00,36.00,1.66,54716720
C,orig,2f_slru,pread,128,2,0,0.00,100.00,101.58,2863.83,2965.41,1.55,0.00,36.00,1.66,54717456
C,orig,2f_slru,async,128,2,0,0.00,100.00,99.60,1092.14,1191.74,1.54,0.00,36.00,1.66,54718028
C,vacuum,layers_5,pread,128,2,0,0.00,100.00,884.18,820.51,1704.69,1.55,14.00,33.00,1.66,54717952
C,vacuum,layers_5,async,128,2,0,0.00,100.00,866.52,301.49,1168.01,1.54,14.00,33.00,1.66,54718628
C,vacuum,layers_92,pread,128,2,0,0.00,100.00,501.25,7620.41,8121.66,1.55,14.00,36.00,1.66,54710668
C,vacuum,layers_92,async,128,2,0,0.00,100.00,504.34,424.62,928.96,1.53,14.00,36.00,1.66,54713004
C,vacuum,2d,pread,128,2,0,0.00,100.00,501.02,647.26,1148.28,1.54,14.00,36.00,1.66,54712636
C,vacuum,2d,async,128,2,0,0.00,100.00,471.76,299.17,770.93,1.54,14.00,36.00,1.69,54713176
C,vacuum,2e_K10,pread,128,2,0,0.00,100.00,185.32,1432.31,1617.63,1.53,12.00,44.00,1.69,54714216
C,vacuum,2e_K10,async,128,2,0,0.00,100.00,187.37,311.99,499.36,1.53,12.00,44.00,1.69,54714696
C,vacuum,2e_K500,pread,128,2,0,0.00,100.00,187.22,2553.07,2740.29,1.48,0.00,30.00,1.69,54714900
C,vacuum,2e_K500,async,128,2,0,0.00,47.90,187.47,757.18,944.65,1.48,0.00,30.00,1.69,54714804
C,vacuum,2f_slru,pread,128,2,0,0.00,100.00,103.92,3315.45,3419.37,1.49,0.00,30.00,1.69,54714388
C,vacuum,2f_slru,async,128,2,0,0.00,100.00,103.22,882.62,985.84,1.51,0.00,30.00,1.69,54715564
C,ta,layers_5,pread,128,2,0,0.00,100.00,886.73,483.90,1370.63,1.65,25.00,27.00,1.69,54714704
C,ta,layers_5,async,128,2,0,0.00,100.00,832.11,300.81,1132.92,1.62,25.00,27.00,1.69,54716324
